% Moku:Go Logic Analyzer
% Pin 1 - A0 - Output 1
% Pin 2 - B0 - Output 1
% Pin 8 - C in - Output 1
% Pin 3 - S0 - Input
% Pin 4 - A1 - Output 1
% Pin 5 - B1 - Output 1
% Pin 6 - S1 - Input
% Pin 7 - C1 - Input
% Time span 28.94 ms, time offset -10.62 us
% Basic trigger, Auto mode, Pin 1, Rising edge
% Pattern Generator 1: 10 values, divider 200,000, baud rate 625
% Pattern Generator 2: 8 values, divider 125, baud rate 1,000,000
% 
% Acquired 2025-10-24 T 15:17:15 +0530
% Time (s), Pin 1 - A0, Pin 2 - B0, Pin 8 - C in, Pin 3 - S0, Pin 4 - A1, Pin 5 - B1, Pin 6 - S1, Pin 7 - C1
-5.906080000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.877760000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.849440000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.821120000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.792800000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.764480000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.736160000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.707840000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.679520000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.651200000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.622880000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.594560000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.566240000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.537920000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.509600000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.481280000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.452960000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.424640000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.396320000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.368000000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.339680000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.311360000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.283040000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.254720000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.226400000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.198080000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.169760000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.141440000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.113120000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.084800000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.056480000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-5.028160000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.999840000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.971520000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.943200000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.914880000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.886560000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.858240000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.829920000000e-03, 1, 1, 1, 0, 1, 1, 1, 1
-4.801600000000e-03, 1, 0.5, 0.5, 0, 1, 1, 1, 1
-4.773280000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.744960000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.716640000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.688320000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.660000000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.631680000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.603360000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.575040000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.546720000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.518400000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.490080000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.461760000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.433440000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
-4.405120000000e-03, 1, 0, 0, 0, 1, 1, 1, 1
